what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1412171347892
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1412171347892
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1412171347893
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1412171347893
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1412171347896
started,bundle,com.altera.sbtgui.integration,10.1.0.153,"com.altera.sbtgui.integration",1412171347896
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1412171347897
started,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1412171347897
started,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1412171347898
started,bundle,com.altera.systemconsole,10.1.0.153,"com.altera.systemconsole",1412171347898
started,bundle,com.altera.utilities,10.1.0.153,"com.altera.utilities",1412171347898
os,sysinfo,,,"win32",1412171347900
arch,sysinfo,,,"x86",1412171347900
ws,sysinfo,,,"win32",1412171347900
locale,sysinfo,,,"en_CA",1412171347900
processors,sysinfo,,,"4",1412171347900
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1412171347900
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1412171347900
java.specification.name,sysinfo,,,"Java Platform API Specification",1412171347900
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1412171347900
java.specification.version,sysinfo,,,"1.6",1412171347900
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1412171347900
java.version,sysinfo,,,"1.6.0_14",1412171347900
java.vm.info,sysinfo,,,"mixed mode",1412171347900
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1412171347900
